ElectrostaticPotential_Vg=0.15V X,ElectrostaticPotential_Vg=0.15V Y,ElectrostaticPotential_Vg=0.3V X,ElectrostaticPotential_Vg=0.3V Y,ElectrostaticPotential_Vg=0.45V X,ElectrostaticPotential_Vg=0.45V Y,ElectrostaticPotential_Vg=0V X,ElectrostaticPotential_Vg=0V Y
-0.015,0.12920713,-0.015,0.27920713,-0.015,0.42920713,-0.015,-0.020792866
-0.014992188,0.12918905,-0.014992188,0.27891588,-0.014992188,0.42844283,-0.014992188,-0.020772106
-0.014917969,0.12901721,-0.014917969,0.276149,-0.014917969,0.42118191,-0.014917969,-0.020574894
-0.01484375,0.12884537,-0.01484375,0.27338212,-0.01484375,0.41392099,-0.01484375,-0.020377688
-0.014769531,0.12867353,-0.014769531,0.27061524,-0.014769531,0.40666007,-0.014769531,-0.020180495
-0.014695313,0.12850168,-0.014695313,0.26784836,-0.014695313,0.39939915,-0.014695313,-0.019983322
-0.014621094,0.12832982,-0.014621094,0.26508148,-0.014621094,0.39213824,-0.014621094,-0.019786175
-0.014546875,0.12815796,-0.014546875,0.2623146,-0.014546875,0.38487733,-0.014546875,-0.01958906
-0.014472656,0.12798608,-0.014472656,0.25954772,-0.014472656,0.37761642,-0.014472656,-0.019391983
-0.014398438,0.1278142,-0.014398438,0.25678084,-0.014398438,0.37035552,-0.014398438,-0.019194952
-0.014324219,0.1276423,-0.014324219,0.25401397,-0.014324219,0.36309463,-0.014324219,-0.018997971
-0.01425,0.12747038,-0.01425,0.2512471,-0.01425,0.35583374,-0.01425,-0.018801048
-0.014175781,0.12729845,-0.014175781,0.24848023,-0.014175781,0.34857287,-0.014175781,-0.018604189
-0.014101562,0.1271265,-0.014101562,0.24571336,-0.014101562,0.34131202,-0.014101562,-0.0184074
-0.014027344,0.12695453,-0.014027344,0.24294651,-0.014027344,0.33405119,-0.014027344,-0.018210688
-0.014,0.12689117,-0.014,0.24192714,-0.014,0.33137616,-0.014,-0.018138236
-0.014,0.12689117,-0.014,0.24192714,-0.014,0.33137616,-0.014,-0.018138236
-0.013953125,0.12686205,-0.013953125,0.24145896,-0.013953125,0.33014806,-0.013953125,-0.018104981
-0.013804687,0.12676975,-0.013804687,0.23997941,-0.013804687,0.32627382,-0.013804687,-0.018000114
-0.01365625,0.12667734,-0.01365625,0.2385049,-0.01365625,0.3224241,-0.01365625,-0.017895934
-0.013359375,0.12649231,-0.013359375,0.23557306,-0.013359375,0.31480737,-0.013359375,-0.017689688
-0.0130625,0.12630717,-0.0130625,0.23266854,-0.0130625,0.30732004,-0.0130625,-0.017486453
-0.01246875,0.12593736,-0.01246875,0.22696429,-0.01246875,0.29282936,-0.01246875,-0.017090162
-0.011875,0.12556997,-0.011875,0.22141275,-0.011875,0.27901656,-0.011875,-0.016705536
-0.0106875,0.12485021,-0.0106875,0.21095277,-0.0106875,0.25407492,-0.0106875,-0.015982047
-0.0094999997,0.1241627,-0.0094999997,0.2014217,-0.0094999997,0.23264304,-0.0094999997,-0.015311046
-0.0083125001,0.12352418,-0.0083125001,0.19304051,-0.0083125001,0.21505738,-0.0083125001,-0.014706374
-0.007125,0.12294962,-0.007125,0.18590543,-0.007125,0.20111635,-0.007125,-0.014175164
-0.0047499998,0.12204387,-0.0047499998,0.17556631,-0.0047499998,0.18296104,-0.0047499998,-0.013367449
-0.0023749999,0.12147407,-0.0023749999,0.16948174,-0.0023749999,0.17326894,-0.0023749999,-0.012844687
0,0.1212819,0,0.16751622,0,0.17031209,0,-0.012668326
0.0023749999,0.12147331,0.0023749999,0.16948032,0.0023749999,0.17327672,0.0023749999,-0.012844493
0.0047499998,0.12204228,0.0047499998,0.17556294,0.0047499998,0.18297782,0.0047499998,-0.013367099
0.007125,0.12294741,0.007125,0.18589895,0.007125,0.20113608,0.007125,-0.014174718
0.0083125001,0.12352163,0.0083125001,0.19303046,0.0083125001,0.21507242,0.0083125001,-0.014705914
0.0094999997,0.12415989,0.0094999997,0.20140788,0.0094999997,0.23265051,0.0094999997,-0.015310594
0.0106875,0.12484766,0.0106875,0.21093916,0.0106875,0.25407541,0.0106875,-0.015981622
0.011875,0.12556783,0.011875,0.22140085,0.011875,0.27901337,0.011875,-0.016705155
0.01246875,0.12593543,0.01246875,0.22695345,0.01246875,0.29282526,0.01246875,-0.017089809
0.0130625,0.12630546,0.0130625,0.23265885,0.0130625,0.30731572,0.0130625,-0.017486133
0.013359375,0.12649071,0.013359375,0.23556397,0.013359375,0.31480307,0.013359375,-0.017689387
0.01365625,0.12667585,0.01365625,0.23849639,0.01365625,0.32241986,0.01365625,-0.017895652
0.013804687,0.12676831,0.013804687,0.23997119,0.013804687,0.32626964,0.013804687,-0.017999841
0.013953125,0.12686066,0.013953125,0.24145103,0.013953125,0.33014394,0.013953125,-0.018104719
0.014,0.1268898,0.014,0.24191931,0.014,0.33137209,0.014,-0.018137977
0.014,0.1268898,0.014,0.24191931,0.014,0.33137209,0.014,-0.018137977
0.014027344,0.1269532,0.014027344,0.24293889,0.014027344,0.33404723,0.014027344,-0.018210436
0.014101562,0.12712528,0.014101562,0.24570633,0.014101562,0.34130836,0.014101562,-0.018407167
0.014175781,0.12729733,0.014175781,0.24847378,0.014175781,0.34856951,0.014175781,-0.018603975
0.01425,0.12746936,0.01425,0.25124123,0.01425,0.35583068,0.01425,-0.018800853
0.014324219,0.12764138,0.014324219,0.25400868,0.014324219,0.36309187,0.014324219,-0.018997795
0.014398438,0.12781338,0.014398438,0.25677614,0.014398438,0.37035306,0.014398438,-0.019194795
0.014472656,0.12798536,0.014472656,0.25954359,0.014472656,0.37761427,0.014472656,-0.019391846
0.014546875,0.12815734,0.014546875,0.26231105,0.014546875,0.38487548,0.014546875,-0.019588942
0.014621094,0.1283293,0.014621094,0.26507851,0.014621094,0.39213669,0.014621094,-0.019786076
0.014695313,0.12850126,0.014695313,0.26784597,0.014695313,0.39939791,0.014695313,-0.019983243
0.014769531,0.12867321,0.014769531,0.27061344,0.014769531,0.40665913,0.014769531,-0.020180435
0.01484375,0.12884516,0.01484375,0.2733809,0.01484375,0.41392035,0.01484375,-0.020377647
0.014917969,0.1290171,0.014917969,0.27614836,0.014917969,0.42118157,0.014917969,-0.020574872
0.014992188,0.12918904,0.014992188,0.27891582,0.014992188,0.4284428,0.014992188,-0.020772104
0.015,0.12920713,0.015,0.27920713,0.015,0.42920713,0.015,-0.020792866

