eDensity_Vg=0.15V X,eDensity_Vg=0.15V Y,eDensity_Vg=0.3V X,eDensity_Vg=0.3V Y,eDensity_Vg=0.45V X,eDensity_Vg=0.45V Y,eDensity_Vg=0.6V X,eDensity_Vg=0.6V Y,eDensity_Vg=0.75V X,eDensity_Vg=0.75V Y,eDensity_Vg=0V X,eDensity_Vg=0V Y
-0.0035000001,0,-0.0035000001,0,-0.0035000001,0,-0.0035000001,0,-0.0035000001,0,-0.0035000001,0
-0.0034570312,0,-0.0034570312,0,-0.0034570312,0,-0.0034570312,0,-0.0034570312,0,-0.0034570312,0
-0.0033984375,0,-0.0033984375,0,-0.0033984375,0,-0.0033984375,0,-0.0033984375,0,-0.0033984375,0
-0.0033398438,0,-0.0033398438,0,-0.0033398438,0,-0.0033398438,0,-0.0033398438,0,-0.0033398438,0
-0.0032812499,0,-0.0032812499,0,-0.0032812499,0,-0.0032812499,0,-0.0032812499,0,-0.0032812499,0
-0.0032226562,0,-0.0032226562,0,-0.0032226562,0,-0.0032226562,0,-0.0032226562,0,-0.0032226562,0
-0.0031640625,0,-0.0031640625,0,-0.0031640625,0,-0.0031640625,0,-0.0031640625,0,-0.0031640625,0
-0.0031054688,0,-0.0031054688,0,-0.0031054688,0,-0.0031054688,0,-0.0031054688,0,-0.0031054688,0
-0.0030468749,0,-0.0030468749,0,-0.0030468749,0,-0.0030468749,0,-0.0030468749,0,-0.0030468749,0
-0.0029882812,0,-0.0029882812,0,-0.0029882812,0,-0.0029882812,0,-0.0029882812,0,-0.0029882812,0
-0.0029296875,0,-0.0029296875,0,-0.0029296875,0,-0.0029296875,0,-0.0029296875,0,-0.0029296875,0
-0.0028710938,0,-0.0028710938,0,-0.0028710938,0,-0.0028710938,0,-0.0028710938,0,-0.0028710938,0
-0.0028125001,0,-0.0028125001,0,-0.0028125001,0,-0.0028125001,0,-0.0028125001,0,-0.0028125001,0
-0.0027539062,0,-0.0027539062,0,-0.0027539062,0,-0.0027539062,0,-0.0027539062,0,-0.0027539062,0
-0.0026953125,0,-0.0026953125,0,-0.0026953125,0,-0.0026953125,0,-0.0026953125,0,-0.0026953125,0
-0.0026367188,0,-0.0026367188,0,-0.0026367188,0,-0.0026367188,0,-0.0026367188,0,-0.0026367188,0
-0.0025781251,0,-0.0025781251,0,-0.0025781251,0,-0.0025781251,0,-0.0025781251,0,-0.0025781251,0
-0.0025195312,0,-0.0025195312,0,-0.0025195312,0,-0.0025195312,0,-0.0025195312,0,-0.0025195312,0
-0.0024999999,0,-0.0024999999,0,-0.0024999999,0,-0.0024999999,0,-0.0024999999,0,-0.0024999999,0
-0.0024999999,1354308.6,-0.0024999999,4.4833905e+08,-0.0024999999,1.4749191e+11,-0.0024999999,4.9090055e+13,-0.0024999999,1.28807e+16,-0.0024999999,4091.4222
-0.0024609375,1867811.5,-0.0024609375,6.1833265e+08,-0.0024609375,2.026618e+11,-0.0024609375,6.7703497e+13,-0.0024609375,1.7786791e+16,-0.0024609375,5642.7335
-0.0023437501,3970264.9,-0.0023437501,1.3143439e+09,-0.0023437501,4.2799521e+11,-0.0023437501,1.4391338e+14,-0.0023437501,3.7886199e+16,-0.0023437501,11994.323
-0.0021093751,9862953.1,-0.0021093751,3.2651017e+09,-0.0021093751,1.060551e+12,-0.0021093751,3.5751112e+14,-0.0021093751,9.415857e+16,-0.0021093751,29796.365
-0.001875,18357105,-0.001875,6.0770647e+09,-0.001875,1.979347e+12,-0.001875,6.6540226e+14,-0.001875,1.7498497e+17,-0.001875,55457.57
-0.0016406249,28082454,-0.0016406249,9.2966042e+09,-0.0016406249,3.0438481e+12,-0.0016406249,1.0179132e+15,-0.0016406249,2.6702007e+17,-0.0016406249,84838.313
-0.0014062501,37907010,-0.0014062501,1.2548968e+10,-0.0014062501,4.132549e+12,-0.0014062501,1.3740093e+15,-0.0014062501,3.5936359e+17,-0.0014062501,114518.73
-0.001171875,46915153,-0.001171875,1.5531068e+10,-0.001171875,5.1364247e+12,-0.001171875,1.700505e+15,-0.001171875,4.4338549e+17,-0.001171875,141732.88
-0.00093749998,55249929,-0.00093749998,1.8290291e+10,-0.00093749998,6.0585136e+12,-0.00093749998,2.0025861e+15,-0.00093749998,5.2044348e+17,-0.00093749998,166912.97
-0.00046874999,64342429,-0.00046874999,2.1300358e+10,-0.00046874999,7.0366068e+12,-0.00046874999,2.3321179e+15,-0.00046874999,6.0362671e+17,-0.00046874999,194382.46
0,67595596,0,2.2377277e+10,0,7.3769602e+12,0,2.4500144e+15,0,6.3311196e+17,0,204210.6
0.00046874999,64342488,0.00046874999,2.1300303e+10,0.00046874999,7.0411015e+12,0.00046874999,2.3321175e+15,0.00046874999,6.0360523e+17,0.00046874999,194382.46
0.00093749998,56060650,0.00093749998,1.855863e+10,0.00093749998,6.1441206e+12,0.00093749998,2.0319686e+15,0.00093749998,5.2787024e+17,0.00093749998,169362.26
0.001171875,46915093,0.001171875,1.5531046e+10,0.001171875,5.1310139e+12,0.001171875,1.7005045e+15,0.001171875,4.4335172e+17,0.001171875,141732.89
0.0014062501,37906949,0.0014062501,1.254895e+10,0.0014062501,4.1312528e+12,0.0014062501,1.3740088e+15,0.0014062501,3.5933353e+17,0.0014062501,114518.74
0.0016406249,28082427,0.0016406249,9.2965891e+09,0.0016406249,3.0478724e+12,0.0016406249,1.0179129e+15,0.0016406249,2.6699647e+17,0.0016406249,84838.317
0.001875,18357087,0.001875,6.0770543e+09,0.001875,1.9851613e+12,0.001875,6.6540202e+14,0.001875,1.7496915e+17,0.001875,55457.573
0.0021093751,9862941.6,0.0021093751,3.2650963e+09,0.0021093751,1.0647769e+12,0.0021093751,3.5751099e+14,0.0021093751,9.4150199e+16,0.0021093751,29796.366
0.0023437501,4277560.3,0.0023437501,1.4160728e+09,0.0023437501,4.6267785e+11,0.0023437501,1.5505237e+14,0.0023437501,4.0820746e+16,0.0023437501,12922.688
0.0024609375,1965686.7,0.0024609375,6.5073386e+08,0.0024609375,2.1368964e+11,0.0024609375,7.1251307e+13,0.0024609375,1.8720835e+16,0.0024609375,5938.4223
0.0024999999,1354308.1,0.0024999999,4.4833884e+08,0.0024999999,1.4770863e+11,0.0024999999,4.9090043e+13,0.0024999999,1.2879881e+16,0.0024999999,4091.4223
0.0024999999,0,0.0024999999,0,0.0024999999,0,0.0024999999,0,0.0024999999,0,0.0024999999,0
0.0025195312,0,0.0025195312,0,0.0025195312,0,0.0025195312,0,0.0025195312,0,0.0025195312,0
0.0025781251,0,0.0025781251,0,0.0025781251,0,0.0025781251,0,0.0025781251,0,0.0025781251,0
0.0026367188,0,0.0026367188,0,0.0026367188,0,0.0026367188,0,0.0026367188,0,0.0026367188,0
0.0026953125,0,0.0026953125,0,0.0026953125,0,0.0026953125,0,0.0026953125,0,0.0026953125,0
0.0027539062,0,0.0027539062,0,0.0027539062,0,0.0027539062,0,0.0027539062,0,0.0027539062,0
0.0028125001,0,0.0028125001,0,0.0028125001,0,0.0028125001,0,0.0028125001,0,0.0028125001,0
0.0028710938,0,0.0028710938,0,0.0028710938,0,0.0028710938,0,0.0028710938,0,0.0028710938,0
0.0029296875,0,0.0029296875,0,0.0029296875,0,0.0029296875,0,0.0029296875,0,0.0029296875,0
0.0029882812,0,0.0029882812,0,0.0029882812,0,0.0029882812,0,0.0029882812,0,0.0029882812,0
0.0030468749,0,0.0030468749,0,0.0030468749,0,0.0030468749,0,0.0030468749,0,0.0030468749,0
0.0031054688,0,0.0031054688,0,0.0031054688,0,0.0031054688,0,0.0031054688,0,0.0031054688,0
0.0031640625,0,0.0031640625,0,0.0031640625,0,0.0031640625,0,0.0031640625,0,0.0031640625,0
0.0032226562,0,0.0032226562,0,0.0032226562,0,0.0032226562,0,0.0032226562,0,0.0032226562,0
0.0032812499,0,0.0032812499,0,0.0032812499,0,0.0032812499,0,0.0032812499,0,0.0032812499,0
0.0033398438,0,0.0033398438,0,0.0033398438,0,0.0033398438,0,0.0033398438,0,0.0033398438,0
0.0033984375,0,0.0033984375,0,0.0033984375,0,0.0033984375,0,0.0033984375,0,0.0033984375,0
0.0034570312,0,0.0034570312,0,0.0034570312,0,0.0034570312,0,0.0034570312,0,0.0034570312,0
0.0035000001,0,0.0035000001,0,0.0035000001,0,0.0035000001,0,0.0035000001,0,0.0035000001,0

