eDensity_Vg=0.15V X,eDensity_Vg=0.15V Y,eDensity_Vg=0.3V X,eDensity_Vg=0.3V Y,eDensity_Vg=0.45V X,eDensity_Vg=0.45V Y,eDensity_Vg=0.6V X,eDensity_Vg=0.6V Y,eDensity_Vg=0V X,eDensity_Vg=0V Y
-0.0060000001,0,-0.0060000001,0,-0.0060000001,0,-0.0060000001,0,-0.0060000001,0
-0.0059374999,0,-0.0059374999,0,-0.0059374999,0,-0.0059374999,0,-0.0059374999,0
-0.005859375,0,-0.005859375,0,-0.005859375,0,-0.005859375,0,-0.005859375,0
-0.0057812501,0,-0.0057812501,0,-0.0057812501,0,-0.0057812501,0,-0.0057812501,0
-0.0057031251,0,-0.0057031251,0,-0.0057031251,0,-0.0057031251,0,-0.0057031251,0
-0.0056250002,0,-0.0056250002,0,-0.0056250002,0,-0.0056250002,0,-0.0056250002,0
-0.0055468748,0,-0.0055468748,0,-0.0055468748,0,-0.0055468748,0,-0.0055468748,0
-0.0054687499,0,-0.0054687499,0,-0.0054687499,0,-0.0054687499,0,-0.0054687499,0
-0.005390625,0,-0.005390625,0,-0.005390625,0,-0.005390625,0,-0.005390625,0
-0.0053125001,0,-0.0053125001,0,-0.0053125001,0,-0.0053125001,0,-0.0053125001,0
-0.0052343751,0,-0.0052343751,0,-0.0052343751,0,-0.0052343751,0,-0.0052343751,0
-0.0051562502,0,-0.0051562502,0,-0.0051562502,0,-0.0051562502,0,-0.0051562502,0
-0.0050781248,0,-0.0050781248,0,-0.0050781248,0,-0.0050781248,0,-0.0050781248,0
-0.0049999999,0,-0.0049999999,0,-0.0049999999,0,-0.0049999999,0,-0.0049999999,0
-0.0049999999,1.9268899e+12,-0.0049999999,1.8205634e+14,-0.0049999999,1.12273e+16,-0.0049999999,1.3542175e+17,-0.0049999999,1.9100445e+10
-0.00484375,3.0526961e+12,-0.00484375,2.9244745e+14,-0.00484375,1.8549727e+16,-0.00484375,2.4279109e+17,-0.00484375,3.0004239e+10
-0.0046875002,5.8667424e+12,-0.0046875002,5.6958481e+14,-0.0046875002,3.7035881e+16,-0.0046875002,5.1549808e+17,-0.0046875002,5.7145614e+10
-0.004375,1.3135193e+13,-0.004375,1.2693088e+15,-0.004375,8.2213285e+16,-0.004375,1.1381539e+18,-0.004375,1.2867562e+11
-0.0040624999,2.0861752e+13,-0.0040624999,1.9817364e+15,-0.0040624999,1.2537373e+17,-0.0040624999,1.6539998e+18,-0.0040624999,2.0763112e+11
-0.0037499999,3.5913747e+13,-0.0037499999,3.2837733e+15,-0.0037499999,1.9659314e+17,-0.0037499999,2.3115098e+18,-0.0037499999,3.7004843e+11
-0.003125,5.7330162e+13,-0.003125,4.963597e+15,-0.003125,2.746362e+17,-0.003125,2.7454256e+18,-0.003125,6.2074326e+11
-0.0024999999,8.3282071e+13,-0.0024999999,6.7739739e+15,-0.0024999999,3.4193042e+17,-0.0024999999,2.8324094e+18,-0.0024999999,9.542515e+11
-0.001875,1.0797394e+14,-0.001875,8.3250919e+15,-0.001875,3.8852965e+17,-0.001875,2.7531557e+18,-0.001875,1.2988286e+12
-0.00125,1.2865671e+14,-0.00125,9.5314816e+15,-0.00125,4.1937548e+17,-0.00125,2.6466123e+18,-0.00125,1.6048718e+12
-0.00062499999,1.4237826e+14,-0.00062499999,1.0290299e+16,-0.00062499999,4.3635913e+17,-0.00062499999,2.5602192e+18,-0.00062499999,1.816337e+12
0,1.4718184e+14,0,1.0550691e+16,0,4.4185288e+17,0,2.5277507e+18,0,1.8916161e+12
0.00062499999,1.4244285e+14,0.00062499999,1.0302171e+16,0.00062499999,4.3707616e+17,0.00062499999,2.5628531e+18,0.00062499999,1.8161304e+12
0.00125,1.2876396e+14,0.00125,9.5525809e+15,0.00125,4.2071096e+17,0.00125,2.6518597e+18,0.00125,1.6044138e+12
0.001875,1.0808754e+14,0.001875,8.3506983e+15,0.001875,3.902831e+17,0.001875,2.7608877e+18,0.001875,1.2980512e+12
0.0024999999,8.3365981e+13,0.0024999999,6.7986683e+15,0.0024999999,3.4382608e+17,0.0024999999,2.8422503e+18,0.0024999999,9.5313097e+11
0.003125,5.7794865e+13,0.003125,5.0077188e+15,0.003125,2.7709622e+17,0.003125,2.7600308e+18,0.003125,6.2557087e+11
0.0037499999,3.4881862e+13,0.0037499999,3.2136262e+15,0.0037499999,1.9396478e+17,0.0037499999,2.2978747e+18,0.0037499999,3.5703084e+11
0.0040624999,2.0876211e+13,0.0040624999,1.9898429e+15,0.0040624999,1.2620844e+17,0.0040624999,1.6610204e+18,0.0040624999,2.0720314e+11
0.004375,1.3289487e+13,0.004375,1.2837051e+15,0.004375,8.3075456e+16,0.004375,1.1451623e+18,0.004375,1.3032445e+11
0.0046875002,5.8716895e+12,0.0046875002,5.7173692e+14,0.0046875002,3.726079e+16,0.0046875002,5.17506e+17,0.0046875002,5.7063107e+10
0.00484375,3.0537507e+12,0.00484375,2.9333094e+14,0.00484375,1.8645283e+16,0.00484375,2.4361325e+17,0.00484375,2.9951279e+10
0.0049999999,1.9265414e+12,0.0049999999,1.8245055e+14,0.0049999999,1.1272585e+16,0.0049999999,1.3578387e+17,0.0049999999,1.906083e+10
0.0049999999,0,0.0049999999,0,0.0049999999,0,0.0049999999,0,0.0049999999,0
0.0050781248,0,0.0050781248,0,0.0050781248,0,0.0050781248,0,0.0050781248,0
0.0051562502,0,0.0051562502,0,0.0051562502,0,0.0051562502,0,0.0051562502,0
0.0052343751,0,0.0052343751,0,0.0052343751,0,0.0052343751,0,0.0052343751,0
0.0053125001,0,0.0053125001,0,0.0053125001,0,0.0053125001,0,0.0053125001,0
0.005390625,0,0.005390625,0,0.005390625,0,0.005390625,0,0.005390625,0
0.0054687499,0,0.0054687499,0,0.0054687499,0,0.0054687499,0,0.0054687499,0
0.0055468748,0,0.0055468748,0,0.0055468748,0,0.0055468748,0,0.0055468748,0
0.0056250002,0,0.0056250002,0,0.0056250002,0,0.0056250002,0,0.0056250002,0
0.0057031251,0,0.0057031251,0,0.0057031251,0,0.0057031251,0,0.0057031251,0
0.0057812501,0,0.0057812501,0,0.0057812501,0,0.0057812501,0,0.0057812501,0
0.005859375,0,0.005859375,0,0.005859375,0,0.005859375,0,0.005859375,0
0.0059374999,0,0.0059374999,0,0.0059374999,0,0.0059374999,0,0.0059374999,0
0.0060000001,0,0.0060000001,0,0.0060000001,0,0.0060000001,0,0.0060000001,0

